entry_time,exit_time,seg,tf,dir,level,entry,sl,tp,exit,reason,pnl,pnl_net,mtr,sld,wait_h,trend_h4
2026-01-23 19:54:08.379510158,2026-01-23 20:07:07.625442663,GCG6,M15,1,4989.9,4990.4,4977.325,5016.25,4977.3,sl,-13.1,-13.25,8.65,12.975,1.1523,1.0
2026-01-26 06:45:03.785991703,2026-01-26 06:58:24.909972947,GCG6,M15,1,5091.5,5091.9,5076.45,5122.8,5076.4,sl,-15.5,-15.65,10.3,15.45,2.0011,1.0
2026-01-26 13:00:09.581479160,2026-01-26 14:37:54.703993032,GCG6,M15,-1,5073.1,5073.1,5086.9,5045.5,5086.9,sl,-13.8,-13.95,9.2,13.8,1.0027,1.0
2026-01-26 16:03:15.221968563,2026-01-26 16:28:50.766379224,GCG6,M15,1,5095.4,5095.9,5075.5,5135.8,5075.4,sl,-20.5,-20.65,13.4,20.1,1.5542,1.0
2026-01-26 16:03:32.284717370,2026-01-26 16:27:55.569093814,GCG6,M15,1,5097.4,5097.7,5082.7,5127.7,5082.4,sl,-15.3,-15.45,10.0,15.0,4.309,1.0
2026-01-26 19:02:08.420568006,2026-01-26 19:48:28.714501493,GCG6,M15,-1,5052.0,5051.7,5075.475,5005.05,5005.05,tp,46.65,46.5,15.65,23.475,3.2857,1.0
2026-01-26 19:02:10.606067411,2026-01-26 21:32:23.123647110,GCG6,M15,-1,5049.7,5048.5,5074.375,5000.35,5000.35,tp,48.15,48.0,16.45,24.675,11.5363,1.0
2026-01-27 05:47:36.157121813,2026-01-27 14:05:43.134224954,GCG6,M15,1,5074.8,5075.6,5057.575,5110.45,5057.5,sl,-18.1,-18.25,11.75,17.625,0.7934,1.0
2026-01-27 11:51:24.697863287,2026-01-27 12:32:17.507886216,GCG6,M15,-1,5068.5,5068.5,5080.95,5043.6,5081.0,sl,-12.5,-12.65,8.3,12.45,1.1069,1.0
2026-01-27 14:05:28.233082350,2026-01-27 15:37:16.976253646,GCG6,M15,-1,5062.2,5062.2,5081.475,5023.65,5081.6,sl,-19.4,-19.55,12.85,19.275,0.0912,1.0
2026-01-27 14:13:22.913040808,2026-01-27 14:33:20.480188540,GCG6,M15,-1,5051.9,5051.9,5068.025,5019.65,5068.1,sl,-16.2,-16.35,10.75,16.125,6.973,1.0
2026-01-27 16:11:05.624817673,2026-01-27 20:46:19.539482273,GCG6,M15,1,5089.4,5089.9,5057.675,5153.75,5153.75,tp,63.85,63.7,21.35,32.025,0.6849,1.0
2026-01-27 16:18:39.112500185,2026-01-27 16:43:20.516243291,GCG6,M15,1,5096.3,5096.7,5086.2,5117.7,5086.2,sl,-10.5,-10.65,7.0,10.5,4.3109,1.0
2026-01-27 16:18:39.331263786,2026-01-27 16:35:32.733028359,GCG6,H1,1,5097.3,5097.7,5087.1,5118.9,5087.1,sl,-10.6,-10.75,21.2,10.6,0.3109,1.0
2026-01-27 16:18:39.331263786,2026-01-27 16:43:42.237126602,GCG6,M15,1,5097.3,5097.7,5082.975,5126.85,5082.8,sl,-14.9,-15.05,9.75,14.625,6.5609,1.0
2026-01-27 20:03:00.983372455,2026-01-27 20:10:48.758653166,GCG6,M15,1,5100.3,5101.8,5083.4,5134.7,5134.7,tp,32.9,32.75,11.4,17.1,1.5503,1.0
2026-01-27 20:03:02.015445240,2026-01-27 20:46:37.392864286,GCG6,M15,1,5103.0,5103.5,5077.925,5154.65,5154.65,tp,51.15,51.0,17.05,25.575,25.8006,1.0
2026-01-27 20:03:02.460710470,2026-01-27 20:20:41.877834216,GCG6,H1,1,5103.0,5103.6,5081.625,5147.55,5147.55,tp,43.95,43.8,43.95,21.975,18.0507,1.0
2026-01-29 15:26:31.822939081,2026-01-29 15:26:49.960357790,GCG6,M15,-1,5265.1,5251.0,5307.025,5181.25,5360.0,sl,-109.0,-109.15,27.95,41.925,18.1922,1.0
