ts_open,ts_close,dir,qty,entry,exit,sl,tp,reason,pnl_pts,pnl_usd,tag
1708531213774624123,1708531338685945945,-1,1,2033.8,2035.6,2035.5499999999997,2031.5000000000005,sl,-1.95,-195.0,L-Rev|M15|low@2034.20
1708565843970077196,1708574467511638306,1,1,2037.9,2035.8,2035.8000000000002,2042.1,sl,-2.25,-225.0,L-Rev|M15|high@2037.80
1708589222558600286,1708590869901364293,1,1,2043.7,2042.3,2042.3,2046.1999999999998,sl,-1.55,-155.0,L-Rev|H1|high@2043.50
1708589222558600286,1708590887330489787,1,1,2043.7,2042.0,2042.025,2046.75,sl,-1.85,-185.0,L-Rev|M15|high@2043.50
1708607951734957791,1708608600129798518,-1,1,2037.1,2033.0500000000002,2039.1249999999998,2033.0500000000002,tp,3.9,390.0,L-Rev|M15|low@2037.10
1708608246331599848,1708608995310808718,-1,1,2035.2,2037.2,2037.15,2031.2999999999997,sl,-2.15,-215.0,L-Rev|M15|low@2035.20
1708636473650271754,1708648634366060169,1,1,2034.8,2032.7,2032.7,2039.0,sl,-2.25,-225.0,L-Rev|M15|high@2034.70
1708666644716065366,1708667872570594266,-1,1,2033.5,2031.6999999999998,2034.4,2031.6999999999998,tp,1.65,165.0,L-Rev|M15|low@2033.50
1708666901138129031,1708669600556810815,-1,1,2032.3,2028.8499999999997,2034.025,2028.8499999999997,tp,3.3,330.0,L-Rev|M15|low@2032.30
1708679760124806761,1708684806192790577,-1,1,2027.5,2030.4,2029.975,2022.5500000000002,sl,-3.05,-305.0,L-Rev|M15|low@2027.50
1708691731943731810,1708694670192039330,1,1,2038.3,2035.3,2035.3249999999998,2040.0499999999997,sl,-3.15,-315.0,L-Rev|M15|high@2036.80
1708691731943731810,1708694835335522725,1,1,2038.3,2035.1,2035.1499999999999,2040.3999999999999,sl,-3.35,-335.0,L-Rev|H1|high@2036.80
1708703704655605326,1708706017483459775,1,1,2039.2,2046.5499999999997,2035.5249999999999,2046.5499999999997,tp,7.2,720.0,L-Rev|M15|high@2039.10
1708944790346414112,1708951609125510664,-1,1,2041.3,2043.6,2043.55,2036.8,sl,-2.45,-245.0,L-Rev|M15|low@2041.30
